spotify_uri,artist_names,track_name,year,spotify_chart,tiktok_chart,spotify_chart_pos,spotify_chart_weeks,tiktok_track_pop,tiktok_artist_pop,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,tempo_bpm,duration_ms
spotify:track:4jPy3l0RUwlUI9T5XHBW2m,"24kGoldn, iann dior",Mood,2020,TRUE,TRUE,1,85,93,78,0.701,0.716,-3.671,0.0361,0.174,0,0.324,91.007,140533
spotify:track:46IZ0fSY2mpAiktS3KOqds,Adele,Easy On Me,2022,TRUE,FALSE,1,23,NULL,NULL,0.604,0.366,-7.519,0.0282,0.578,0,0.133,141.981,224695
spotify:track:3Kkjo3cT83cw09VJyrLNwX,Adele,Oh My God,2021,TRUE,FALSE,3,18,NULL,NULL,0.534,0.725,-3.906,0.046,0.091,0,0.0264,88.098,225149
spotify:track:09gysnJpfQ3ublBmJDfcEC,"Amaare, Kali Uchs, Moily",SAD GIRLZ LUV MONEY (Remix),2022,FALSE,TRUE,NULL,NULL,80,64,0.87,0.523,-8.052,0.0602,0.433,0.113,0.319,110.02,145800
spotify:track:3IAfUEeaXRX9s9UdKOJrFI,Anitta,Envolver,2022,TRUE,TRUE,3,3,86,81,0.812,0.736,-5.421,0.0833,0.152,0.00254,0.0914,91.993,193806
spotify:track:35mvY5S1H3J2QZyna3TFe0,Ariana Grande,positions,2021,TRUE,TRUE,1,74,87,80,0.737,0.802,-4.771,0.0878,0.468,0,0.0931,144.015,172325
spotify:track:6Im9k8u9iIzKMrmV7BWtlF,Ariana Grande,34+35,2020,FALSE,TRUE,NULL,NULL,82,80,0.83,0.585,-6.476,0.094,0.237,0.248,0.485,109.978,160657
spotify:track:6Xom58OOXk2SoU711L2IXO,Bad Bunny,Moscow Mule,2022,TRUE,FALSE,2,14,NULL,NULL,0.804,0.674,-5.453,0.0333,0.294,1.18E-06,0.115,99.968,245940
spotify:track:2JPLbjOn0wPCngEot2STUS,Bad Bunny,Yonaguni,2021,TRUE,FALSE,3,42,NULL,NULL,0.644,0.648,-4.601,0.118,0.276,0,0.135,179.951,206710
spotify:track:1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,Titi Me Pregunto,2022,TRUE,FALSE,4,14,NULL,NULL,0.65,0.715,-5.198,0.253,0.0993,0.000291,0.126,106.672,243717
spotify:track:5Eax0qFko2dh7Rl2lYs3bx,Bad Bunny,Efecto,2022,TRUE,FALSE,7,14,NULL,NULL,0.801,0.475,-8.797,0.0516,0.141,1.73E-05,0.0639,98.047,213061
spotify:track:1dm6z1fWB0cErMszU25dy2,Bad Bunny,Despues de la Playa,2022,TRUE,FALSE,7,14,NULL,NULL,0.564,0.903,-3.221,0.307,0.356,0,0.175,78.293,230400
spotify:track:3k3NWokhRRkEPhCzPmV8TW,"Bad Bunny, Bomba Estereo",Ojitos Lindos,2022,TRUE,FALSE,3,14,NULL,NULL,0.647,0.686,-5.745,0.0413,0.08,1.34E-06,0.528,79.928,258299
spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,"Bad Bunny, Chencho Corleone",Me Porto Bonito,2022,TRUE,FALSE,2,14,NULL,NULL,0.911,0.712,-5.105,0.0817,0.0901,2.68E-05,0.0933,92.005,178567
spotify:track:4MzXwWMhyBbmu6hOcLVD49,"Bad Bunny, Jhay Cortez",DAKITI,2021,TRUE,FALSE,1,73,NULL,NULL,0.731,0.573,-10.059,0.0544,0.401,5.22E-05,0.113,109.928,205090
spotify:track:4tYFy8ALRjIZvnvSLw5lxN,"Bad Bunny, Rauw Alejandro",Party,2022,TRUE,FALSE,6,14,NULL,NULL,0.829,0.799,-5.389,0.0897,0.0151,0.000543,0.242,97.013,227629
spotify:track:71wFwRo8xGc4lrcyKwsvba,"Bad Bunny, Tainy",Callaita,2020,TRUE,FALSE,7,67,NULL,NULL,0.608,0.626,-4.773,0.301,0.597,2.16E-06,0.25,176.086,250534
spotify:track:1uMHCAyGmHqyygoNRuo7MV,"bbno$, Rich Brian",Edamame,2021,FALSE,TRUE,NULL,NULL,77,73,0.815,0.848,-4.704,0.115,0.023,0.0265,0.684,106.032,214800
spotify:track:1ri9ZUkBJVFUdgwzCnfcYs,"Becky G, KAROL G",MAMIII,2022,TRUE,TRUE,5,6,87,81,0.843,0.7,-3.563,0.0803,0.0934,0,0.14,93.991,226088
spotify:track:7BoobGhD4x5K96Me0hqC8Q,Bella Poarch,Build a Bitch,2021,FALSE,TRUE,NULL,NULL,77,65,0.855,0.463,-7.454,0.0367,0.217,0.347,0.866,102.931,196653
spotify:track:5pyoxDZ1PX0KxBxiRVxA4U,Beyonce,BREAK MY SOUL,2022,FALSE,TRUE,NULL,NULL,97,92,0.811,0.797,-7.627,0.0533,0.00543,0.26,0.518,120.041,208707
spotify:track:4RVwu0g32PAqgUiJoXsdF8,Billie Eilish,Happier Than Ever,2021,TRUE,TRUE,6,34,97,89,0.332,0.225,-8.697,0.0348,0.767,0.00349,0.128,81.055,298899
spotify:track:2tTmW7RDtMQtBk7m2rYeSw,"Bizarrap, Quevedo","Bizarrap Music Sessions, no. 52",2022,TRUE,FALSE,1,5,NULL,NULL,0.621,0.782,-5.548,0.044,0.0125,0.033,0.23,128.033,198938
spotify:track:02VBYrHfVwfEWXk5DXyf0T,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,2021,TRUE,TRUE,5,55,86,76,0.586,0.616,-7.964,0.0324,0.182,0,0.0927,148.088,242096
spotify:track:7sMBvZCSUl99bJLXZaLa0b,"Bruno Mars, Anderson .Paak, Silk Sonic",Smokin Out The Window,2021,TRUE,FALSE,8,11,NULL,NULL,0.627,0.618,-8.529,0.0437,0.0558,0,0.351,82.03,197443
spotify:track:1mWdTewIgB3gtBM3TOSFhB,BTS,Butter,2021,TRUE,TRUE,2,44,92,90,0.759,0.459,-5.187,0.0948,0.00323,0,0.0906,109.997,164442
spotify:track:5QDLhrAOJJdNAmCTJ8xMyW,BTS,Dynamite,2021,TRUE,TRUE,2,83,90,90,0.746,0.765,-4.41,0.0993,0.0112,0,0.0936,114.044,199054
spotify:track:3XYRV7ZSHqIRDG87DKTtry,BTS,Permission to Dance,2021,TRUE,FALSE,5,26,NULL,NULL,0.702,0.741,-5.33,0.0427,0.00544,0,0.337,124.925,187585
spotify:track:10SRMwb9EuVS1K9rYsBfHQ,BTS,Yet To Come,2021,TRUE,FALSE,7,8,NULL,NULL,0.559,0.885,-4.515,0.189,0.0432,0,0.333,172.029,193594
spotify:track:4a9tbd947vo9K8Vti9JwcI,"BTS, Halsey",Boy With Luv (Remix),2019,TRUE,TRUE,3,46,93,90,0.645,0.862,-4.761,0.0845,0.0933,0,0.193,119.947,229773
spotify:track:7ef4DlsgrMEH11cDZd32M6,"Calvin Harris, Dua Lipa",One Kiss,2018,TRUE,FALSE,2,83,NULL,NULL,0.791,0.862,-3.24,0.11,0.037,2.19E-05,0.0814,123.994,214847
spotify:track:0QBzMgT7NIeoCYy3sJCof1,"Camila Cabello, Ed Sheeran",Bam Bam,2022,FALSE,TRUE,NULL,NULL,83,82,0.756,0.697,-6.377,0.0401,0.182,0.333,0.956,94.996,168602
spotify:track:4Oun2ylbjFKMPTiaSbbCih,"Cardi B, Megan Thee Stallion",WAP,2020,FALSE,TRUE,NULL,NULL,85,81,0.935,0.454,-7.509,0.375,0.0194,0.0824,0.357,133.073,216320
spotify:track:52xJxFP6TqMuO4Yt0eOkMz,"Carolina Gaitan - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast",We Don't Talk About Bruno,2021,TRUE,FALSE,8,13,NULL,NULL,0.577,0.45,-8.516,0.0834,0.357,0,0.111,205.863,216120
spotify:track:3AVXwaOGCEL8cmBecfcsFJ,Charlie Puth,Light Switch,2022,FALSE,TRUE,NULL,NULL,82,79,0.69,0.626,-5.693,0.306,0.105,0.0881,0.912,184.009,227395
spotify:track:0mBP9X2gPCuapvpZ7TGDk3,"Charlie Puth, Jungkook, BTS",Left and Right (Feat. Jung Kook of BTS),2022,TRUE,FALSE,7,7,NULL,NULL,0.881,0.592,-4.898,0.0324,0.619,1.32E-05,0.0901,101.058,154487
spotify:track:2Xr1dTzJee307rmrkt8c0g,CKay,love nwantiti (ah ah ah),2020,FALSE,TRUE,NULL,NULL,84,73,0.727,0.739,-3.805,0.0411,0.365,0.161,0.533,93.005,143901
spotify:track:46HNZY1i7O6jwTA7Slo2PI,"Coldplay, BTS",My Universe,2021,TRUE,FALSE,3,26,NULL,NULL,0.573,0.711,-6.268,0.0406,0.0114,0,0.328,105.006,226198
spotify:track:4Aykm3xrOFSHrAnv80KUhh,"DaBaby, Roddy Ricch",ROCKSTAR [BLM REMIX],2020,FALSE,TRUE,NULL,NULL,80,82,0.746,0.69,-7.956,0.164,0.247,0.101,0.497,89.977,169153
spotify:track:2cSdAkzAf2T4j4aLvx4LLz,Disco Lines,Baby Girl,2022,FALSE,TRUE,NULL,NULL,77,59,0.73,0.907,-3.72,0.0606,0.0921,0.23,0.249,120.968,161385
spotify:track:6Uj1ctrBOjOas8xZXGqKk4,Doja Cat,Woman,2021,TRUE,TRUE,6,37,89,88,0.824,0.764,-4.175,0.0854,0.0888,0.00294,0.117,107.998,172627
spotify:track:3Vi5XqYrmQgOYBajMWSvCi,Doja Cat,Need to Know,2021,TRUE,TRUE,6,41,85,88,0.664,0.609,-6.509,0.0707,0.304,0,0.0926,130.041,210560
spotify:track:3Dv1eDb0MEgF93GpLXlucZ,Doja Cat,Say So,2020,FALSE,TRUE,NULL,NULL,81,88,0.787,0.673,-4.583,0.159,0.264,0.0904,0.779,110.962,164000
spotify:track:78qd8dvwea0Gosb6Fe6j3k,Doja Cat,Boss Bitch,2021,FALSE,TRUE,NULL,NULL,80,88,0.707,0.955,-4.593,0.222,0.127,0.202,0.575,125.989,162680
spotify:track:3DarAbFujv6eYNliUTyqtz,"Doja Cat, SZA",Kiss Me More,2021,TRUE,TRUE,3,50,82,88,0.764,0.705,-3.463,0.0284,0.259,8.92E-05,0.12,110.97,208667
spotify:track:0k4d5YPDr1r7FX77VdqWez,"Doja Cat, The Weeknd",You Right,2021,FALSE,TRUE,NULL,NULL,85,88,0.828,0.621,-6.414,0.0565,0.0164,0.0845,0.436,128.986,178147
spotify:track:3F5CgOj3wFlRv51JsHbxhe,"Drake, 21 Savage",Jimmy Cooks,2022,TRUE,TRUE,7,8,92,95,0.529,0.673,-4.711,0.175,0.000307,2.41E-06,0.093,165.921,218365
spotify:track:0k1WUmIRnG3xU6fvvDVfRG,"Drake, Future, Young Thug",Way 2 Sexy,2021,TRUE,FALSE,5,20,NULL,NULL,0.803,0.597,-6.035,0.141,0.000619,4.50E-06,0.323,136.008,257605
spotify:track:40iJIUlhi6renaREYGeIDS,"Drake, Travis Scott",Fair Trade,2021,TRUE,FALSE,3,19,NULL,NULL,0.666,0.465,-8.545,0.26,0.0503,0,0.215,167.937,291175
spotify:track:3PfIrDoz19wz7qK7tYeu62,Dua Lipa,Don't Start Now,2020,TRUE,TRUE,2,125,80,88,0.793,0.793,-4.521,0.083,0.0123,0,0.0951,123.95,183290
spotify:track:017PF4Q3l4DBUiWoXk4OWT,Dua Lipa,Break My Heart,2021,FALSE,TRUE,NULL,NULL,83,88,0.707,0.955,-4.593,0.222,0.127,0.202,0.575,125.989,97209
spotify:track:5nujrmhLynf4yMoMtj8AQF,"Dua Lipa, DaBaby",Levitating,2021,TRUE,TRUE,4,77,86,88,0.702,0.825,-3.787,0.0601,0.00883,0,0.0674,102.977,203064
spotify:track:332xSCN5xTnJYnuyobZmy7,"Duke & Jones, Jason Derulo, Louis Theroux",Jiggle Jiggle,2022,FALSE,TRUE,NULL,NULL,81,64,0.864,0.412,-5.886,0.273,0.458,0.124,0.654,99.992,196520
spotify:track:7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,Shape of You,2017,TRUE,FALSE,1,269,NULL,NULL,0.825,0.652,-3.183,0.0802,0.581,0,0.0931,95.977,233713
spotify:track:3rmo8F54jFF8OgYsqTxm5d,Ed Sheeran,Bad Habits,2022,TRUE,TRUE,3,39,88,91,0.807,0.893,-3.745,0.0347,0.0451,2.79E-05,0.366,126.011,230747
